教科,単元,難易度,問題,解答,解説,ポイント,期限
国語,漢字の読み書き,基本,次の漢字の読み方をひらがなで書きなさい。「単純」,たんじゅん,「単純」は、物事が簡単でわかりやすいことを意味する言葉で、「たんじゅん」と読む。,5,
国語,漢字の読み書き,基本,次の文のかたかなを漢字に直しなさい。「駅までのキョリを調べる。」,距離,「キョリ」は、二点間の隔たりを表す「距離」という漢字で書く。,5,
国語,漢字の読み書き,標準,次の文の傍線部の漢字の読み方をひらがなで書きなさい。「彼女は困難な状況にも冷静に対処した。」（傍線部：冷静）,れいせい,「冷静」は、感情に流されず落ち着いていることを意味し、「れいせい」と読む。,10,
国語,漢字の読み書き,応用,次の文のかたかなを漢字に直しなさい。「事件のケイイを詳しく説明する。」,経緯,「ケイイ」は、物事がそうなるまでの筋道や事情を表す「経緯」という漢字で書く。,15,
国語,品詞の識別,基本,次の文の傍線部の単語の品詞を答えなさい。「彼はゆっくり歩く。」（傍線部：ゆっくり）,副詞,「ゆっくり」は動詞「歩く」を修飾しており、活用しないことから副詞である。,5,
国語,品詞の識別,基本,次の文の傍線部の単語の品詞を答えなさい。「この本はとても面白い。」（傍線部：面白い）,形容詞,「面白い」は言い切りの形が「い」で終わり、物事の性質や状態を表すことから形容詞である。,5,
国語,品詞の識別,標準,次の文の傍線部の単語の品詞を答えなさい。「静かな図書館で勉強する。」（傍線部：静かな）,形容動詞,「静かな」は言い切りの形が「静かだ」となり、性質や状態を表すことから形容動詞である。,10,
国語,品詞の識別,応用,次の文の傍線部の単語の品詞を答えなさい。「あの山は美しい。」（傍線部：あの）,連体詞,「あの」は活用せず、後の名詞「山」を直接修飾することから連体詞である。,15,
国語,敬語,基本,「言う」の尊敬語を、動詞の基本形で一つ答えなさい。,おっしゃる,「言う」を敬う尊敬語には「おっしゃる」という特別な言い方がある。,5,
国語,敬語,基本,「食べる」の謙譲語を、動詞の基本形で一つ答えなさい。,いただく,自分の動作をへりくだって言う謙譲語では、「食べる」を「いただく」と表す。,5,
国語,敬語,標準,次の文の（　）に当てはまる丁寧語を一語で答えなさい。「これは私の本（　）。」,です,「です」は、話し手が聞き手に対して丁寧な気持ちを表す丁寧語である。,10,
国語,敬語,応用,次の文の傍線部を謙譲語の表現に直しなさい。「私が先生の荷物を持つ。」（傍線部：持つ）,お持ちする,自分の動作を低めて相手を高める謙譲語では、「持つ」を「お持ちする」という形にする。,15,
国語,慣用句・ことわざ・四字熟語,基本,次の慣用句の意味を、簡単に答えなさい。「猫の手も借りたい」,非常に忙しいこと,「猫の手も借りたい」は、猫の手でも手伝ってほしいほど忙しい様子を表す慣用句である。,5,
国語,慣用句・ことわざ・四字熟語,標準,次の四字熟語の（　）に当てはまる漢字一字を答えなさい。「一石二（　）」,鳥,「一石二鳥」は、一つの行動で二つの利益を得ることを表す四字熟語である。,10,
