教科,単元,難易度,問題,解答,解説,ポイント,期限
国語,漢字の読み書き,基本,次の文中の「誠実」の読み方をひらがなで答えなさい。「彼はいつも誠実な態度で人と接する。」,せいじつ,「誠実」は「せいじつ」と読み、まじめで真心があることを意味する。,1,
国語,漢字の読み書き,標準,次の文中の傍線部「そんちょうする」を漢字に直しなさい。「みんなの意見をそんちょうすることが大切だ。」,尊重,「尊重」は人の意見や立場を大事に扱うことを意味する。,2,
国語,漢字の読み書き,標準,次の文中の「抽象的」の読み方をひらがなで答えなさい。「抽象的な概念を説明するのは難しい。」,ちゅうしょうてき,「抽象的」は具体的な形を持たず、一般化された考え方を指す言葉である。,2,
国語,漢字の読み書き,応用,次の文中の傍線部「げんみつに」を漢字に直しなさい。「事故の原因をげんみつに調査する。」,厳密,「厳密」は細かい点まで正確で、いい加減さがないことを意味する。,3,
国語,文法,基本,動詞「来る」の活用の種類を答えなさい。,カ行変格活用,「来る」は特殊な変化をする動詞で、カ行変格活用(カ変)に分類される。,1,
国語,文法,標準,動詞「勉強する」の活用の種類を答えなさい。,サ行変格活用,「する」を含む動詞は、サ行変格活用(サ変)に分類される。,2,
国語,文法,標準,次の文の傍線部の助詞「と」の働きを答えなさい。「兄と弟が一緒に出かけた。」,並立,この「と」は「兄」と「弟」を対等に結び付ける並立の関係を表す助詞である。,2,
国語,文法,応用,次の文の傍線部の助動詞「た」の意味を答えなさい。「去年、北海道へ旅行した。」,過去,過去に起こった出来事を表しているため、この「た」は過去の意味を表す助動詞である。,3,
国語,古文基礎,基本,次の歴史的仮名遣いを現代仮名遣いに直しなさい。「ゐなか」,いなか,語中の「ゐ」は現代仮名遣いでは「い」に直す。,1,
国語,古文基礎,基本,次の歴史的仮名遣いを現代仮名遣いに直しなさい。「むかふ」,むかう,語中の「ふ」は現代仮名遣いでは「う」に直す。,1,
国語,古文基礎,標準,古語「いとほし」の意味を答えなさい。,かわいそうだ,古語「いとほし」は、気の毒だ、かわいそうだという意味を表す。,2,
国語,古文基礎,応用,古語「やがて」の意味を答えなさい。,すぐに,古語の「やがて」は現代語の「そのうち」ではなく「すぐに、ただちに」という意味で使われる。,3,
国語,読解,基本,次の文章を読んで、後の問いに答えなさい。「美咲は図書委員として、毎週水曜日の放課後に図書室の本を整理していた。ある日、返却された本の間から、古びた一枚のしおりを見つけた。そこには小さな花の絵が丁寧に描かれていた。誰が描いたのだろうと考えながら、美咲はそのしおりを図書室のカウンターに大切に置いておいた。数日後、一年生の女子生徒が恥ずかしそうにカウンターへやってきて、「あの、これ私のなんです」と小さな声で言った。美咲は、しおりを見つけたときの嬉しさと、持ち主が名乗ってくれたことへの安心感で、思わず笑顔になった。」美咲の学校での役割は何か、答えなさい。,図書委員,本文冒頭に「美咲は図書委員として」とあることから分かる。,1,
国語,読解,標準,次の文章を読んで、後の問いに答えなさい。「美咲は図書委員として、毎週水曜日の放課後に図書室の本を整理していた。ある日、返却された本の間から、古びた一枚のしおりを見つけた。そこには小さな花の絵が丁寧に描かれていた。誰が描いたのだろうと考えながら、美咲はそのしおりを図書室のカウンターに大切に置いておいた。数日後、一年生の女子生徒が恥ずかしそうにカウンターへやってきて、「あの、これ私のなんです」と小さな声で言った。美咲は、しおりを見つけたときの嬉しさと、持ち主が名乗ってくれたことへの安心感で、思わず笑顔になった。」美咲が返却された本の間から見つけたものは何か、答えなさい。,しおり,本文に「古びた一枚のしおりを見つけた」とある。,2,
